f0	κ	dominant	fraction	strict	n_curled_s	n_curled_b	n_tri_s	n_tri_b	n_circ_s	n_circ_b
1.0	1.0	none	0.0000	broad	0	0	0	0	0	0
1.0	3.7	none	0.0000	broad	0	0	0	0	0	0
1.0	6.3	none	0.0000	broad	0	0	0	0	0	0
1.0	9.0	none	0.0000	broad	0	0	0	0	0	0
1.0	11.7	none	0.0000	broad	0	0	0	0	0	0
1.0	14.3	none	0.0000	broad	0	0	0	0	0	0
1.0	17.0	none	0.0000	broad	0	0	0	0	0	0
1.0	19.7	none	0.0000	broad	0	0	0	0	0	0
1.0	22.3	none	0.0000	broad	0	0	0	0	0	0
1.0	25.0	none	0.0000	broad	0	0	0	0	0	0
3.7	1.0	curled	0.1133	broad	0	17	0	0	0	0
3.7	3.7	none	0.0000	broad	0	0	0	0	0	0
3.7	6.3	none	0.0000	broad	0	0	0	0	0	0
3.7	9.0	none	0.0000	broad	0	0	0	0	0	0
3.7	11.7	none	0.0000	broad	0	0	0	0	0	0
3.7	14.3	none	0.0000	broad	0	0	0	0	0	0
3.7	17.0	none	0.0000	broad	0	0	0	0	0	0
3.7	19.7	none	0.0000	broad	0	0	0	0	0	0
3.7	22.3	none	0.0000	broad	0	0	0	0	0	0
3.7	25.0	none	0.0000	broad	0	0	0	0	0	0
6.3	1.0	none	0.0000	broad	0	0	0	0	0	0
6.3	3.7	curled	0.5533	broad	6	77	0	10	0	0
6.3	6.3	none	0.0000	broad	0	0	0	0	0	0
6.3	9.0	none	0.0000	broad	0	0	0	0	0	0
6.3	11.7	curled	0.0200	broad	0	3	0	0	0	0
6.3	14.3	curled	0.0133	broad	0	2	0	0	0	0
6.3	17.0	none	0.0000	broad	0	0	0	0	0	0
6.3	19.7	none	0.0000	broad	0	0	0	0	0	0
6.3	22.3	none	0.0000	broad	0	0	0	0	0	0
6.3	25.0	none	0.0000	broad	0	0	0	0	0	0
9.0	1.0	curled	0.3800	broad	23	34	0	0	0	0
9.0	3.7	curled	0.3067	broad	18	28	0	0	0	0
9.0	6.3	none	0.0000	broad	0	0	0	0	0	0
9.0	9.0	rounded-tri	0.0133	broad	0	0	0	2	0	0
9.0	11.7	none	0.0000	broad	0	0	0	0	0	0
9.0	14.3	none	0.0000	broad	0	0	0	0	0	0
9.0	17.0	none	0.0000	broad	0	0	0	0	0	0
9.0	19.7	none	0.0000	broad	0	0	0	0	0	0
9.0	22.3	none	0.0000	broad	0	0	0	0	0	0
9.0	25.0	curled	0.0800	broad	1	11	0	0	0	0
11.7	1.0	curled	0.8067	broad	7	114	0	0	0	0
11.7	3.7	curled	0.0133	broad	0	2	0	2	0	0
11.7	6.3	none	0.0000	broad	0	0	0	0	0	0
11.7	9.0	none	0.0000	broad	0	0	0	0	0	0
11.7	11.7	rounded-tri	0.0067	broad	0	0	0	1	0	0
11.7	14.3	none	0.0000	broad	0	0	0	0	0	0
11.7	17.0	none	0.0000	broad	0	0	0	0	0	0
11.7	19.7	none	0.0000	broad	0	0	0	0	0	0
11.7	22.3	none	0.0000	broad	0	0	0	0	0	0
11.7	25.0	none	0.0000	broad	0	0	0	0	0	0
14.3	1.0	curled	0.1133	broad	4	13	0	0	0	0
14.3	3.7	rounded-tri	0.0067	broad	0	0	0	1	0	0
14.3	6.3	rounded-tri	0.0400	broad	0	1	0	6	0	0
14.3	9.0	curled	0.1333	broad	4	16	0	9	0	0
14.3	11.7	curled	0.0200	broad	1	2	0	0	0	0
14.3	14.3	none	0.0000	broad	0	0	0	0	0	0
14.3	17.0	curled	0.1667	broad	8	17	0	1	0	0
14.3	19.7	curled	0.0467	broad	2	5	0	0	0	0
14.3	22.3	curled	0.0867	strict	10	3	0	0	0	0
14.3	25.0	none	0.0000	broad	0	0	0	0	0	0
17.0	1.0	curled	0.5600	broad	2	82	0	0	0	0
17.0	3.7	curled	0.2800	strict	23	19	0	0	0	0
17.0	6.3	rounded-tri	0.0200	broad	0	0	0	3	0	0
17.0	9.0	curled	0.0400	strict	5	1	0	5	0	0
17.0	11.7	none	0.0000	broad	0	0	0	0	0	0
